State_Code,County,County_Seat,Latitude,Longitude
FL, Dixie,Cross City,29.638598,-83.124836
FL, Pasco,Dade City,28.355933,-82.193437
FL, Nassau,Fernandina Beach,30.65813,-81.45152
FL, Broward,Fort Lauderdale,26.141227,-80.146731
FL, Lee,Fort Myers,26.620074,-81.829547
FL, St. Lucie,Fort Pierce,27.426112,-80.342488
FL, Alachua,Gainesville,29.680694,-82.349175
FL, Clay,Green Cove Springs,29.990372,-81.681033
FL, Citrus,Inverness,28.84221,-82.342295
FL, Duval,Jacksonville,30.336864,-81.661603
FL, Hamilton,Jasper,30.524998,-82.961526
FL, Monroe,Key West,24.565063,-81.775539
FL, Osceola,Kissimmee,28.30278,-81.417831
FL, Union,Lake Butler,28.482847,-81.538656
FL, Columbia,Lake City,30.190865,-82.64728
FL, Suwannee,Live Oak,30.29565,-82.985117
FL, Baker,Macclenny,30.281039,-82.125253
FL, Madison,Madison,30.471487,-83.413453
FL, Jackson,Marianna,30.761445,-85.256258
FL, Lafayette,Mayo,30.051197,-83.176898
FL, Miami-Dade,Miami,25.775163,-80.208615
FL, Santa Rosa,Milton,30.629413,-87.052598
FL, Jefferson,Monticello,30.542248,-83.872178
FL, Glades,Moore Haven,26.833752,-81.098451
FL, Collier,Naples,26.150485,-81.795299
FL, Marion,Ocala,29.17751,-82.151025
FL, Okeechobee,Okeechobee,27.241608,-80.829311
FL, Orange,Orlando,28.40865,-81.254805
FL, Putnam,Palatka,29.64487,-81.676736
FL, Bay,Panama City,30.166271,-85.670191
FL, Escambia,Pensacola,30.440989,-87.191242
FL, Taylor,Perry,30.10904,-83.582066
FL, Charlotte,Punta Gorda,26.863537,-82.032345
FL, Gadsden,Quincy,30.565983,-84.585847
FL, St. Johns,St. Augustine,29.896152,-81.311128
FL, Seminole,Sanford,28.789425,-81.275624
FL, Sarasota,Sarasota,27.338257,-82.543721
FL, Highlands,Sebring,27.471396,-81.451568
FL, Bradford,Starke,29.947452,-82.112885
FL, Martin,Stuart,27.195272,-80.244114
FL, Leon,Tallahassee,30.455131,-84.253418
FL, Hillsborough,Tampa,27.967876,-82.474586
FL, Lake,Tavares,28.765875,-81.756384
FL, Brevard,Titusville,28.573368,-80.819404
FL, Gilchrist,Trenton,29.609181,-82.814612
FL, Indian River,Vero Beach,27.64722,-80.393136
FL, Hardee,Wauchula,27.546903,-81.810087
FL, Palm Beach,West Palm Beach,26.745114,-80.127038
FL, Gulf,Wewahitchka,30.126206,-85.190714
GA, Wilcox,Abbeville,31.992576,-83.306452
